Stock Return,Dividend Yield
1.3788,0.0431
0.8809,0.0410
0.7152,0.0469
0.5293,0.0616
0.8522,0.0723
1.4408,0.0411
0.9529,0.0368
1.4137,0.0380
1.2792,0.0314
0.6141,0.0531
1.2455,0.0381
0.9482,0.0433
0.8491,0.0520
0.8214,0.0621
1.1243,0.0604
1.1945,0.0471
1.1380,0.0459
1.3072,0.0392
0.8813,0.0392
1.0000,0.0523
0.9935,0.0638
1.1046,0.0709
1.2168,0.0749
1.1635,0.0631
1.1178,0.0568
0.9338,0.0580
1.4502,0.0520
1.2640,0.0490
1.0262,0.0469
0.8569,0.0450
1.3806,0.0409
1.0848,0.0331
0.9703,0.0341
1.2313,0.0285
0.8819,0.0341
1.1889,0.0313
1.1297,0.0304
1.0906,0.0306
0.8691,0.0359
1.2009,0.0309
1.0766,0.0293
0.8864,0.0352
1.0010,0.0346
1.1079,0.0310
1.1563,0.0270
0.8263,0.0370
0.7028,0.0543
1.3155,0.0414
1.1915,0.0393
0.8850,0.0511
1.0106,0.0539
1.1231,0.0553
1.2577,0.0474
0.9027,0.0557
1.1476,0.0493
1.1727,0.0432
1.0140,0.0468
1.2633,0.0388
1.1462,0.0338
1.0203,0.0371
1.1240,0.0368
1.2725,0.0332
0.9344,0.0374
1.2631,0.0311
1.0446,0.0290
1.0706,0.0272
0.9846,0.0291
1.3411,0.0230
1.2026,0.0201
1.3101,0.0160
1.2667,0.0132
1.1953,0.0114
0.8986,0.0123
0.8696,0.0137
0.7663,0.0183
1.2638,0.0156
1.0899,0.0160
1.0300,0.0178
1.1362,0.0175
1.0353,0.0189
0.6151,0.0314
1.2345,0.0201
1.1278,0.0181
1.0000,0.0210
1.1341,0.0219
1.2960,0.0196
1.1139,0.0192
0.9927,0.0212
1.0954,0.0204
1.1942,0.0183
0.9376,0.0214
1.2888,0.0181
1.1626,0.0152
1.2689,0.0127
